epoch	train error	test error	
 2.3900e+02	 1.2278e-03	 9.7448e-04	
 2.4000e+02	 1.2229e-03	 9.6975e-04	
 2.4100e+02	 1.2197e-03	 9.6552e-04	
 2.4200e+02	 1.2133e-03	 9.6099e-04	
 2.4300e+02	 1.2089e-03	 9.5613e-04	
 2.4400e+02	 1.2029e-03	 9.5150e-04	
 2.4500e+02	 1.1991e-03	 9.4686e-04	
 2.4600e+02	 1.1915e-03	 9.4278e-04	
 2.4700e+02	 1.1896e-03	 9.3937e-04	
 2.4800e+02	 1.1821e-03	 9.3856e-04	
 2.4900e+02	 1.1847e-03	 9.4160e-04	
 2.5000e+02	 1.1815e-03	 9.5273e-04	
 2.5100e+02	 1.1978e-03	 9.8179e-04	
 2.5200e+02	 1.2196e-03	 1.0265e-03	
 2.5300e+02	 1.2659e-03	 1.1323e-03	
 2.5400e+02	 1.3830e-03	 1.1789e-03	
 2.5500e+02	 1.4172e-03	 1.3269e-03	
 2.5600e+02	 1.6424e-03	 1.1153e-03	
 2.5700e+02	 1.4092e-03	 1.0324e-03	
 2.5800e+02	 1.3607e-03	 9.1678e-04	
 2.5900e+02	 1.1671e-03	 8.6733e-04	
 2.6000e+02	 1.1198e-03	 8.5421e-04	
 2.6100e+02	 1.0758e-03	 8.5311e-04	
 2.6200e+02	 1.0803e-03	 8.2401e-04	
 2.6300e+02	 1.0505e-03	 8.1948e-04	
 2.6400e+02	 1.0404e-03	 7.9408e-04	
 2.6500e+02	 1.0170e-03	 7.9126e-04	
 2.6600e+02	 1.0080e-03	 7.7528e-04	
 2.6700e+02	 9.8973e-04	 7.8197e-04	
 2.6800e+02	 9.9209e-04	 7.8673e-04	
 2.6900e+02	 9.9188e-04	 8.2754e-04	
 2.7000e+02	 1.0197e-03	 8.9375e-04	
 2.7100e+02	 1.0909e-03	 9.9076e-04	
 2.7200e+02	 1.1462e-03	 1.1337e-03	
 2.7300e+02	 1.3600e-03	 1.0625e-03	
 2.7400e+02	 1.2417e-03	 9.8803e-04	
 2.7500e+02	 1.2797e-03	 7.4551e-04	
 2.7600e+02	 9.5970e-04	 5.9949e-04	
 2.7700e+02	 8.2909e-04	 5.6730e-04	
 2.7800e+02	 7.3777e-04	 5.6078e-04	
 2.7900e+02	 7.3023e-04	 5.1041e-04	
 2.8000e+02	 6.7982e-04	 4.9355e-04	
 2.8100e+02	 6.5128e-04	 4.4095e-04	
 2.8200e+02	 5.9997e-04	 4.1980e-04	
 2.8300e+02	 5.6462e-04	 3.7580e-04	
 2.8400e+02	 5.1988e-04	 3.5532e-04	
 2.8500e+02	 4.8551e-04	 3.1522e-04	
 2.8600e+02	 4.4360e-04	 2.9787e-04	
 2.8700e+02	 4.1196e-04	 2.5926e-04	
 2.8800e+02	 3.7087e-04	 2.5034e-04	
 2.8900e+02	 3.4563e-04	 2.1341e-04	
 2.9000e+02	 3.0587e-04	 2.2429e-04	
 2.9100e+02	 2.9693e-04	 1.9524e-04	
 2.9200e+02	 2.6211e-04	 2.5087e-04	
 2.9300e+02	 2.9675e-04	 2.5365e-04	
 2.9400e+02	 2.8043e-04	 3.9455e-04	
 2.9500e+02	 4.3495e-04	 4.7725e-04	
 2.9600e+02	 4.9753e-04	 6.5807e-04	
 2.9700e+02	 1.0771e-03	 8.6006e-04	
 2.9800e+02	 1.8982e-03	 1.1633e-03	
 2.9900e+02	 6.4271e-03	 1.4670e-03	
 3.0000e+02	 1.5380e-02	 5.1590e-04	
 3.0100e+02	 2.1224e-02	 4.3488e-03	
 3.0200e+02	 1.3069e-02	 1.0131e-02	
 3.0300e+02	 2.9151e-03	 3.5876e-03	
 3.0400e+02	 8.2759e-03	 4.1337e-03	
 3.0500e+02	 3.3066e-03	 2.1941e-03	
 3.0600e+02	 2.1122e-03	 2.0292e-03	
